ano;preco_terra;area_soja;producao_soja;rendimento_soja;area_trigo;producao_trigo;rendimento_trigo;area_milho;producao_milho;rendimento_milho;cotacao_dolar;cotacao_soja;cotacao_trigo;cotacao_milho;taxa_selic;ipca;ibovespa
01/06/1994;1392;1595119;2721364;1708;277175;403492;1456;860844;2375722;2760;0.40;680;335;275;4816.91;916.46;4353.92
01/12/1994;1788;1595119;2721364;1708;277175;403492;1456;860844;2375722;2760;0.87;560;376;219;4816.91;916.46;4353.92
01/06/1995;1521;1504275;2923993;1945;149467;167263;1237;941935;2967834;3151;0.88;567;373;250;53.37;22.41;4299
01/12/1995;1631;1504275;2923993;1945;149467;167263;1237;941935;2967834;3151;0.95;660;486;320;53.17;22.41;4299
01/06/1996;1483;1258576;2099866;1704;278585;474991;1718;837121;1482662;2170;0.98;763;530;438;24.01;9.56;7039.94
01/12/1996;1235;1258576;2099866;1704;278585;474991;1718;837121;1482662;2170;1.02;735;412;303;24.01;9.56;7039.94
01/06/1997;1293;1471441;2376906;1616;248272;301912;1252;827600;2048952;2535;1.05;821;373;282;27.89;5.22;10196.5
01/12/1997;1750;1471441;2376906;1616;248272;301912;1252;827600;2048952;2535;1.09;689;354;268;27.89;5.22;10196.5
01/06/1998;1701;1588145;3231258;2037;189950;269056;1427;761923;2181446;2960;1.13;645;306;254;28.88;1.65;6784.3
01/12/1998;1671;1588145;3231258;2037;189950;269056;1427;761923;2181446;2960;1.18;551;268;211;28.88;1.65;6784.3
01/06/1999;1758;1527302;2233555;1464;199067;362970;1828;745024;1606368;2422;1.74;471;259;215;27.47;8.94;17091.6
01/12/1999;1902;1527302;2233555;1464;199067;362970;1828;745024;1606368;2422;1.88;469;257;201;27.47;8.94;17091.6
01/06/2000;2047;1515278;2391948;1593;280275;442254;1593;768880;1968101;2647;1.78;513;257;218;17.49;5.97;15259.2
01/12/2000;2081;1515278;2391948;1593;280275;442254;1593;768880;1968101;2647;1.87;483;259;199;17.49;5.97;15259.2
01/06/2001;2391;1500918;3475915;2337;307576;537949;1754;837982;3067104;3666;2.15;452;263;201;17.65;7.67;13577.5
01/12/2001;2731;1500918;3475915;2337;307576;537949;1754;837982;3067104;3666;2.54;456;282;209;17.65;7.67;13577.5
01/06/2002;3045;1653626;2805259;1702;400154;563262;1418;732418;1950586;2737;2.44;475;282;207;19.48;12.53;11268.4
01/12/2002;3717;1653626;2805259;1702;400154;563262;1418;732418;1950586;2737;3.39;564;366;247;19.48;12.53;11268.4
01/06/2003;4263;1795985;4789649;2667;531947;1197779;2253;708389;2713062;3833;3.23;597;304;235;22.89;9.3;22236.3
01/12/2003;5293;1795985;4789649;2667;531947;1197779;2253;708389;2713062;3833;2.91;691;370;233;22.89;9.3;22236.3
01/06/2004;5721;1992169;2770857;1396;562423;1030705;1832;651649;1688431;2815;2.97;916;377;295;16.31;7.6;26196.25
01/12/2004;5782;1992169;2770857;1396;562423;1030705;1832;651649;1688431;2815;2.88;561;307;208;16.31;7.6;26196.25
01/06/2005;5784;2089636;1222270;654;422411;694866;1645;603060;742520;1537;2.57;618;322;211;19.13;5.69;33455.94
