regiao;municipio;atividade;produção;ano;valor
Campanha;Aceguá;Arroz;Alta;2015;16833
Campanha;Aceguá;Arroz;Alta;2016;19875
Campanha;Aceguá;Arroz;Alta;2017;20000
Campanha;Aceguá;Arroz;Alta;2018;20000
Campanha;Aceguá;Grãos;Média;2015;12050
Campanha;Aceguá;Grãos;Média;2016;14200
Campanha;Aceguá;Grãos;Média;2017;14667
Campanha;Aceguá;Grãos;Média;2018;15000
Campanha;Aceguá;Pastagem;Baixa;2015;9083
Campanha;Aceguá;Pastagem;Baixa;2016;9000
Campanha;Aceguá;Pastagem;Baixa;2017;8667
Campanha;Aceguá;Pastagem;Baixa;2018;8500
Campanha;Arroio Grande;Arroz;Alta;2015;16833
Campanha;Arroio Grande;Arroz;Alta;2016;19875
Campanha;Arroio Grande;Arroz;Alta;2017;20000
Campanha;Arroio Grande;Arroz;Alta;2018;20000
Campanha;Arroio Grande;Grãos;Média;2015;12050
Campanha;Arroio Grande;Grãos;Média;2016;14200
Campanha;Arroio Grande;Grãos;Média;2017;14667
Campanha;Arroio Grande;Grãos;Média;2018;15000
Campanha;Arroio Grande;Pastagem;Baixa;2015;9083
Campanha;Arroio Grande;Pastagem;Baixa;2016;9000
Campanha;Arroio Grande;Pastagem;Baixa;2017;8667
Campanha;Arroio Grande;Pastagem;Baixa;2018;8500
Campanha;Bagé;Arroz;Alta;2015;16833
Campanha;Bagé;Arroz;Alta;2016;19875
Campanha;Bagé;Arroz;Alta;2017;20000
Campanha;Bagé;Arroz;Alta;2018;20000
Campanha;Bagé;Grãos;Média;2015;12050
Campanha;Bagé;Grãos;Média;2016;14200
Campanha;Bagé;Grãos;Média;2017;14667
Campanha;Bagé;Grãos;Média;2018;15000
Campanha;Bagé;Pastagem;Baixa;2015;9083
Campanha;Bagé;Pastagem;Baixa;2016;9000
Campanha;Bagé;Pastagem;Baixa;2017;8667
Campanha;Bagé;Pastagem;Baixa;2018;8500
Campanha;Caçapava do Sul;Arroz;Alta;2015;16833
Campanha;Caçapava do Sul;Arroz;Alta;2016;19875
Campanha;Caçapava do Sul;Arroz;Alta;2017;20000
Campanha;Caçapava do Sul;Arroz;Alta;2018;20000
Campanha;Caçapava do Sul;Grãos;Média;2015;12050
Campanha;Caçapava do Sul;Grãos;Média;2016;14200
Campanha;Caçapava do Sul;Grãos;Média;2017;14667
Campanha;Caçapava do Sul;Grãos;Média;2018;15000
Campanha;Caçapava do Sul;Pastagem;Baixa;2015;9083
Campanha;Caçapava do Sul;Pastagem;Baixa;2016;9000
Campanha;Caçapava do Sul;Pastagem;Baixa;2017;8667
Campanha;Caçapava do Sul;Pastagem;Baixa;2018;8500
